,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Gulf Islands,Gulf Islands,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Montana,Montana,GPE,0.07857143,0.36428571,en,1.00000000,,-1,,,,,,
The Northern Hemisphere,The Northern Hemisphere,LOC,0.23333333,0.48333333,en,1.00000000,,-1,,,,,,
the Southern Hemisphere,the Southern Hemisphere,LOC,0.23333333,0.48333333,en,1.00000000,,-1,,,,,,
SALT LAKE CITY,SALT LAKE CITY,GPE,0.05000000,0.30000000,en,1.00000000,,-1,,,,,,
Michigan,Michigan,GPE,1.38250000,2.31750000,en,1.00000000,,-1,,,,,,
Louvre,Louvre,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Sandy Bay,Sandy Bay,LOC,0.80000000,1.00000000,en,1.00000000,,-1,,,,,,
Glenorchy,Glenorchy,GPE,0.80000000,1.00000000,en,1.00000000,,-1,,,,,,
the Northern Lig,the Northern Lig,LOC,-0.15000000,0.40000000,en,1.00000000,,-1,,,,,,
the Northern Hemisphere,the Northern Hemisphere,LOC,0.07777778,0.58888889,en,1.00000000,,-1,,,,,,
West Michigan,West Michigan,GPE,0.52500000,1.50000000,en,1.00000000,,-1,,,,,,
Rome,Rome,GPE,0.50000000,1.00000000,en,1.00000000,,-1,,,,,,
Mount Everest,Mount Everest,LOC,-0.02500000,0.28750000,en,1.00000000,,-1,,,,,,
Cincinnati,Cincinnati,GPE,0.78666667,2.05000000,en,1.00000000,,-1,,,,,,
Ci… UCF,Ci… UCF,GPE,0.16666667,0.30000000,en,1.00000000,,-1,,,,,,
Maine,Maine,GPE,0.26233766,0.54588745,en,1.00000000,,-1,,,,,,
New Hampshire,New Hampshire,GPE,0.16233766,0.44588745,en,1.00000000,,-1,,,,,,
Vermont,Vermont,GPE,0.16233766,0.44588745,en,1.00000000,,-1,,,,,,
Northern Cal,Northern Cal,LOC,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Montana City,Montana City,GPE,0.06666667,0.35000000,en,1.00000000,,-1,,,,,,
East Helena,East Helena,GPE,0.06666667,0.35000000,en,1.00000000,,-1,,,,,,
Pacific,Pacific,LOC,0.14444444,1.28888889,en,1.00000000,,-1,,,,,,
South Dakota,South Dakota,GPE,1.00000000,1.12500000,en,1.00000000,,-1,,,,,,
Cedar Creek Gardens,Cedar Creek Gardens,LOC,1.00000000,1.12500000,en,1.00000000,,-1,,,,,,
North Queensland,North Queensland,GPE,0.00000000,0.00000000,en,1.00000000,,-1,,,,,,
Las Vegas,Las Vegas,GPE,0.04166667,0.25000000,en,1.00000000,,-1,,,,,,
Peloponnese,Peloponnese,GPE,-0.17000000,0.40000000,en,1.00000000,,-1,,,,,,
